FID,ap_lp,apn,number_of_,objectid,shape_area,shape_leng,situs_city,situs_hous,situs_ho_2,situs_stat,situs_stre,situs_st_2,situs_st_3,situs_unit,situs_zip_,tax_rate_a
214663,AP,15846080,1.000000000000000,469373.000000000000000,114.947302929707703,52.550792345971509,MOUNTAIN VIEW,505,,CA,,CYPRESS POINT,DR,80,94043-4830,5010.000000000000000
214736,LP,,0.000000000000000,59316.000000000000000,67839.942169620044297,2259.445333355227831,,,,,,,,,,0.000000000000000
214747,LP,26159038,1.000000000000000,316348.000000000000000,84.954914312289958,41.012751625695394,SAN JOSE,169,,CA,,LAUREL GROVE,LN,,95126,17193.000000000000000
214787,LP,43403029,1.000000000000000,393225.000000000000000,856.535781553331276,124.401072090965826,SAN JOSE,495,,CA,,DOROTHY,AV,,95125-5732,17108.000000000000000
214813,AP,43446053,1.000000000000000,484587.000000000000000,214.799017837719390,59.527019705727604,SAN JOSE,1375,,CA,,LICK,AV,530,95110,17193.000000000000000
214817,LP,43447015,1.000000000000000,428796.000000000000000,91.420573543579366,38.836643386795963,SAN JOSE,1758,,CA,,CROSS,WY,220,95125,17109.000000000000000
214837,LP,72605072,1.000000000000000,255745.000000000000000,228.258601983837167,79.991958576339201,MORGAN HILL,17160,,CA,,CREEKBED,CT,,95037-4643,4002.000000000000000
214892,LP,26141043,1.000000000000000,205192.000000000000000,857.814659921269254,125.281338984874793,SAN JOSE,225,,CA,,LINCOLN,AV,,95126-4813,17107.000000000000000
214904,LP,25948025,1.000000000000000,416448.000000000000000,840.645143077373518,140.330942447720759,SAN JOSE,143,,CA,,GIFFORD,AV,,95110-2508,17193.000000000000000
214952,LP,25903143,0.000000000000000,161175.000000000000000,6162.776963722177243,385.787793268073187,,,,,,,,,,17108.000000000000000
214959,LP,15326077,1.000000000000000,53293.000000000000000,736.616549313847372,108.273960562108030,MOUNTAIN VIEW,304,,CA,,WINDMILL PARK,LN,,94043-4600,5010.000000000000000
215023,LP,14732030,1.000000000000000,185069.000000000000000,1214.826578124665048,137.851732220514833,PALO ALTO,194,,CA,,FERNE,CT,,94306-4607,6012.000000000000000
215035,LP,12014063,2.000000000000000,284105.000000000000000,785.437559812910649,113.035904566967162,PALO ALTO,451,,CA,,LYTTON,AV,,94301-1535,6001.000000000000000
215061,LP,13217078,1.000000000000000,338438.000000000000000,805.439517488025558,122.311203718842052,PALO ALTO,221,,CA,,COLORADO,AV,,94301-4213,6001.000000000000000
215070,LP,20911015,1.000000000000000,178138.000000000000000,783.589188592250025,120.113316202030575,SUNNYVALE,494,,CA,,LINCOLN,AV,,94086-6319,9002.000000000000000
215072,LP,15835125,1.000000000000000,423081.000000000000000,444.977852015257838,90.249009013401121,MOUNTAIN VIEW,208,,CA,,SHUMWAY,LN,,94041-1320,5000.000000000000000
215075,LP,72617042,1.000000000000000,361930.000000000000000,1033.283051688450541,135.473221867223003,MORGAN HILL,655,,CA,,BEL AIR,WY,,95037-3703,4101.000000000000000
215081,LP,12418031,1.000000000000000,212043.000000000000000,738.061184531029653,115.282794853414032,PALO ALTO,1865,,CA,,EMERSON,ST,,94301-3718,6001.000000000000000
215109,LP,14833049,1.000000000000000,450852.000000000000000,231.320622705206972,65.219494494982683,MOUNTAIN VIEW,2218,,CA,,MORA,PL,,94040,5000.000000000000000
215116,LP,14819010,1.000000000000000,85115.000000000000000,146.962826079827209,59.618576340206204,MOUNTAIN VIEW,112,,CA,,PACCHETTI,WY,,94040,5009.000000000000000
215120,AP,49754020,1.000000000000000,486131.000000000000000,725.294895515196799,117.071288631027102,SAN JOSE,315,,CA,,KENBROOK,CL,,95111-3281,17031.000000000000000
215126,AP,49720011,1.000000000000000,487686.000000000000000,766.008039713165317,116.391343986106079,SAN JOSE,3153,,CA,,KENLAND,DR,,95111-3242,17031.000000000000000
